Time , Robot1_X , Robot1_Y , Robot1_Teta , Robot1_Velocity , Robot1_acceleration , , Robot2_X , Robot2_Y , Robot2_Teta , Robot2_Velocity , Robot2_acceleration , , Robot1_obstacle1 x ,Robot1_obstacle1 y ,Robot1_obstacle1_orientation ,Robot1_obstacle1_velocity , , Robot1_obstacle2 x ,Robot1_obstacle2 y ,Robot1_obstacle2_orientation ,Robot1_obstacle2_velocity , ,Robot1_obstacle3 x ,Robot1_obstacle3 y ,Robot1_obstacle3_orientation ,Robot1_obstacle3_velocity , , Robot1_obstacle4 x ,Robot1_obstacle4 y ,Robot1_obstacle4_orientation ,Robot1_obstacle4_velocity , ,Robot2_obstacle1 x ,Robot2_obstacle1 y ,Robot2_obstacle1_orientation ,Robot2_obstacle1_velocity , , Robot2_obstacle2 x ,Robot2_obstacle2 y ,Robot2_obstacle2_orientation ,Robot2_obstacle2_velocity , ,Robot2_obstacle3 x ,Robot2_obstacle3 y ,Robot2_obstacle3_orientation ,Robot2_obstacle3_velocity , , Robot2_obstacle4 x ,Robot2_obstacle4 y ,Robot2_obstacle4_orientation ,Robot2_obstacle4_velocity ,
12112.691,18.7347,-4.73614,1.87514,0.934367,1.0275, ,5.68495,-12.1769,0.497797,0.872741,0.975964, ,14.2992,-7.33593,1.5708,0.501, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, 
12113.192,18.563,-4.32949,2.15741,0.851686,0.14301, ,6.11033,-11.9865,0.307522,0.899399,0.134215, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, 
12113.687,18.2958,-3.98966,2.40655,0.887353,0.78674, ,6.54853,-11.8688,0.170402,0.999101,0.304631, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, 
12114.188,17.9491,-3.72629,2.60035,0.924545,0.00863471, ,6.99664,-11.8127,0.065745,0.924583,0.144874, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, 
12114.686,17.5263,-3.49409,2.73306,0.930383,-0.0807242, ,7.47123,-11.7845,0.0932581,0.92822,-0.0250814, ,14.2992,-7.43593,-1.3734,0.212884, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, 
12115.187,17.1193,-3.33689,2.85502,0.923786,-0.00296686, ,7.91355,-11.7317,0.14639,0.923081,0.0149399, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, 
12115.688,16.6731,-3.22173,2.92071,0.867404,0.00666047, ,8.39936,-11.6612,0.174905,0.927867,-0.0373017, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, 
12116.186,16.2304,-3.1217,2.92952,0.924114,0.0214025, ,8.84479,-11.5787,0.175462,0.920444,-0.0279766, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, 
12116.687,15.8177,-3.03215,2.88999,0.922741,-0.00465769, ,9.31847,-11.495,0.190266,0.92904,-0.0402199, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,13.2675,-13.4759,0,0.4175, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, 
12117.188,15.3671,-2.91038,2.86612,0.928543,0.00182989, ,9.759,-11.4051,0.206618,0.920842,-0.0205208, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, 
12117.689,14.9181,-2.78801,2.8682,0.934363,0.0796881, ,10.1813,-11.3149,0.202056,0.927357,0.0358462, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, 
